D94.	Transformation: man to ogre.
G300.	Other ogres.
E710.1.	Ferocious animal guardians of separable soul of ogress. Giant or ogre as helper.
N812.	
G301.	Monsters. Usually not clearly defined. See this entire chapter on ogres. Irish myth: *Cross; Jewish: *Neuman.
A123.	Monstrous gods.
B0.	Mythical animals.
B15.7.5.	Ghormuhas: men's bodies, horses' heads, one leg, cannibals.
D113.1.1.	Werwolf.
D1981.	4, Magic invisibility of ogres.
E200.	Malevolent return from the dead.
F510.	Monstrous persons.
G302.	Demons. Malevolent creatures (not usually further defined). Irish: Plummer cliii, *Cross; Swiss: Jegerlehner Oberwallis 305 No. 36; Jewish: *Neuman; Babylonian: Spence 276f.; Hindu: Penzer I 205, Tawney II 232 n.; Chinese: Graham, Werner 432b s.v. “Demons"; Eskimo (Mackenzie Area): Jenness 82; S. A. Indian (Chaco): Alex- ander Lat. Am. 323.
A531.1.1.	Culture hero banishes demons.
B16.1.4.	Devastating swine.
B16.1.5.	Devastating cattle.
D16.2.2.	Devastating tiger.
D95.	Transformation: man to demon. D
O27.2.	Magic spring guarded by demons (monsters).
D1385.	Magic object protects from evil spirits.
D2177.1.	Demon enclosed in bottle.
F251.7.	Fairies as demons.
F400.	Spirits and demons (general).
F405.	Means of combating spirits.
F408.1.	Demon occupies lance (sword).
F418.	Spirits (demons) hover in air shrieking over battlefield.
N571.	Devil (demon) as guardian of treasure.
V229.5.	Saint banishes demons.
G302.1.	Origin of demons and their companions. Jewish: *Neuman.
G302.1.1.	Demons: soul of the giants who perished in the flood. (Cf.
A1010.	) Jewish: *Neuman.
G302.1.2.	Evil spirits born of echo in chaos. Jewish: Neuman.   ## p. 311 (#329) ############################################  G. Ogres 311
G302.2.	Varieties of demons. Jewish: *Neuman.
G302.2.1.	Kingdom of demons. (Cf.
G303.	) Jewish: *Neuman.
G302.2.2.	Devil King. Chinese: Graham.
G302.3.	Form of demon.
G302.3.0.1.	Demon's size changed at will. (Cf.
D631.7.	) Jewish: *Neuman.
G302.3.1.	Demon as fiery pillar. Jewish: Neuman.
G302.3.2.	Demon in animal form. Jewish: Neuman.
G302.3.3.	Demon in form of old woman. (Cf. C745, D651,
G1263.0.1.	) India: *Thompson-Balys.
G302.4.	Physical characteristics of demons.
G302.4.1.	Six characteristics of demons: three like angels, three like men. Jewish: *Neuman.
G302.4.2.	Invisibility of demons. Jewish: Neuman.
G302.4.3.	Demons have only souls but no bodies. Jewish: *Neuman.
G302.4.4.	Demons cast no shadow (Cf. F1038,
G369.3.	) Jewish: *Neuman.
G302.4.5.	Feet of demons. Jewish: Neuman.
G302.4.5.1.	Demons have cock-feet. Jewish: Neuman.
G302.5.	Haunts of demons.
G302.5.1.	Desert the abode of demons. Jewish: Neuman. Egypt as abode of demons. Jewish: *Neuman.
G302.5.2.	
G302.5.3.	Demons present at discussion in academies. Jewish: Neuman.
G302.6.	Circumstances of demons' appearance.
G302.6.1.	Demons appear only at stated times. Jewish: *Neuman.
G302.7.	Mortal experiences of demons.
G302.7.1.	Sexual relation between man and demons. Jewish: Neuman.
G302.7.2.	Demons marry among themselves. Jewish: *Neuman.
G302.8.	Demon's helpers. Jewish: Neuman.
G302.9.	Deeds of demons.
G302.9.1.	Demons attack men. Jewish: Neuman.
G302.9.2.	Demons abduct men and torment them. Jewish: Neuman.
G302.9.3.	Demons tempt men. Jewish: Neuman.
G302.9.4.	Demons injure and strangle little children. Jewish: *Neuman.
G302.9.5.	Demons help Satan. (Cf.
G303.10.	) Jewish: Neuman.
G302.9.6.	Demons fool men in their dreams. (Cf.
G303.11.1.	) Jewish: Neu- man.
G302.9.7.	Enormous quantities of food eaten by demons. Jewish: Neuman.   ## p. 312 (#330) ############################################  312 Motif-Index of Folk-Literature
G302.9.8.	Demons teach men idolatry. Jewish: *Neuman.
G302.9.9.	Demons goad man to treachery. Jewish: *Neuman.
G303.	Devil. (The Devil, Satan, The Bad Man, Old Nick, etc.) 1 Not clear- ly differentiated, especially in German tradition, from the stupid ogre. (See also F531 (Gaint), G100-199 and G500—699.) **Wünsche Teufel; **A Graf The Story of the Devil (tr. E. N. Stone) (London, 1931); **M. J. Rudwin The Devil in Legend and Literature (Chicago, 1931); P. Carus History of the Devil (Chicago, 1900); **Toldo II 329ff.; **O. A. Erich Die Darstellung des Teufels in der christlichen Kunst (Berlin, 1931); *De Vooys Middelnederlandse Legenden en Exempelen 159ff.; S. Freud Die Teufelsneurose im 17. Jahrhundert (Wien, 1928). Irish myth: Cross; North Carolina: Brown Collection I 687; Ice- landic: *Boberg; Finnish-Swedish: **P. Danielsson Djävulgestalten i Finlands svenska Folktro (Bidrag till kännedom af Finlands natur och folk LXXXIV pt. 2, (Helsingfors, 1932] 157); Estonian: Loorits Grundzüge I 135—152; Jewish: *Neuman.
A33.3.1.	Bee as God's spy overhears devil's secrets.
A43.	Devil as adviser of god.
A63.	Devil as marplot at creation.
A283.	Origin of demons.
A716.	God plans two suns; devil persuades otherwise.
A810.1.	God and devil fly together over primeval water.
A812.1.	Devil as earth diver.
A835.	Earth from nut in devil's mouth.
A1071.1.	Devil fettered by trick.
A1217.	Devil's unsuccessful attempt to vivify his creations as God has done.
A1293.	Devil in God's absence puts sickness in Adam's body.
A1750.	Animals created through opposition of devil to God.
A1751.	The devil's animals and God's.
A1755.	Devil's unsuccessful creation produces certain animals.
A1756.	Devil produces animals only in God's name. A 1903. God makes birds, devil reptiles.
A1957.1.	Devil creates wood- pecker.
A2004.	Insects from devil's post-hole.
A2011.1.	Creation of ant by devil.
A2145.4.	Snake from devil's slaver.
A2171.1.1.	Crayfish from devil's fleas shaken off in water.
A2216.2.	Devil pulls off goats' tails: hence they lack tails. A 2236.2. Animal characteristics: punishment for carrying devil into paradise.
A2286.2.	Animal characteristics result from contest between God and devil.
A2734.	Plant characteristics from object thrown by devil.
A2743.	Plant characteristic because plant belongs to the devil.
B291.1.1.2.	Raven as devil's messenger.
C12.	Devil invoked: appears unexpectedly.
C12.4.	Man commends wife to devil. who guards her chastity.
D55.2.2.	Devil (troll) makes self small.
D812.3.	Magic object received from devil.
D834.	Magic object acquired by tricking devil.
D1413.1.	Devil imprisoned in tree by smith by means of magic power.
D1721.1.	Magic power from devil.
D1810.2.	Magic knowledge from devil.
D2065.1.	Madness from demonic possession.
D2141.0.3.	Storms pro- duced by devil.
D2142.1.3.	Wind raised by calling on devil.
D2177.1.	Demon enclosed in bottle.
E511.1.2.	Flying Dutchman sails because of pact with devil.
E752.1.1.	Devil in disguise hunts souls.
E752.1.2.1.	De- mons amuse themselves by plaguing souls in hell.
E756.	1, Devils and angels contest for man's soul.
F402.	Evil spirits.
F564.1.	Person of diabolical origin never sleeps.
F615.1.	Strong man sent to devil's mill: drives devils to master's house.
G222.1.	When devil combs witches, sparks fly.
G243.1.	Obeisance to devil at witches' sabbath,
H221.2.	Sparks of hot iron from devil point out guilty youth.
H335.4.	Devil as suitor is assigned task.
H523.	Test: guessing nature of devil's possessions.
H932.	Tasks assigned to devil.
H1272.	Quest for devils in hell: hero brings them back with him.
H1273.	Quest to devil for objects.
H1420.	Fearless traffic with devils.
H1422.	Fear test: cutting devil's fingernails.
J1781.	Objects thought to be devils.
K11.0.1.	Man challenges devil to run a race. Cheats him.
K42.2.	Devil challenges farmer to clover-mowing contest.
K47.1.	Seamstress challenges devil to sewing contest.
K83.1.	Scratching contest: man's wife shows wounds.
K83.1.1.	Scratching con. test with devil: man's wife shows scratches in her oak table.
K171.1.	Deceptive crop division: above ground, below ground.
K186.	Devil looks in vain for tree which is neither straight nor crooked, neither large nor small.
K210.	Devil cheated of his promised soul.
K222.	Devil accepts God as his master until the leaves fall.
K235.4.	Man cheats devil of reward: to have man if he gets him at first grasp.
K249.1.	Devil loses his grain, and gets thistles,
K262.1.	Devil is made sick of his bargain. K 440.1. Devil cheated in card playing.
K551.4.2.	Devil to take person as soon as he is completely dressed.
K551.2.	Devil to take a person as soon as the latter finishes drinking his glass.
K1691.	Devil is deceived 1 For help in the preparation of this item I am indebted to Mrs. Anna Dale Kek of Indianapolis.   ## p. 313 (#331) ############################################  G. Ogres 313 of his reward by premature crowing of cock.
K1710.	Devil overawed.
K1756.	Devil terrified by iron man.
K1838.	Disguise as devil.
K1961.3.	Devil deceives prior by posing as monk and preaching sermon on re- pentance.
K1986.	Devil deceives priest into thinking he is a candidate for confirmation.
K1987.	Devil, disguised as a man, goes to church.
K1992.	Devil tries to pass for Jesus.
K2325.	Devil frightened by threatening to bring his mother-in-law.
M201.1.2.	Blood compact with the devil.
M210.	Bargain with devil.
M211.	Man sells soul to devil.
M215.	With his whole heart. Devil carries off judge.
M217.1.	Servant makes pact with devil denying Christ to secure nobleman's daughter.
N4.	Devil as gambler.
N4.1.	Devil makes wager with builder of cathedral at Cologne.
N6.1.	Luck in gambling from compact with devil.
N334.2.	Hanging in game or jest accidentally proves fatal.
N571.	Devil (demon) as guardian of treasure.
P441.2.	Tailoring the only trade the devil has been unable to learn.
P482.1.	Devil pulls painter from chair.
Q45.2.	Hospitality to devil repaid. 261.2. Devil spares abbot because of humility.
Q220.1.	The devil plagues impi- ous people.
Q223.4.1.	Priest joins devils after death because he played dice and let a woman die without confession.
Q271.2.	Devil condemns rich man who does not repent until ready to die.
Q273.1.	Devil comes for usurer.
Q273.1.1.	Dead usurer fed molten silver by devil.
Q274.1.	Devils carry away stones of church built by a man with ill-gotten wealth.
Q274.2.	Devil suffocates swindling merchant.
Q281.1.1.	Devils carry off girl who abuses mother. 0312.2, Devil carries off fault-finding people.
Q331.1.	Devil torments old man who has laid aside his humility.
Q386.	Devil punishes dancing.
Q387.1.	Devil carries off Jester.
Q388.1.	Devil forces freemasons to dance so that they sweat blood.
Q391.1.	Prince of devils gives up seat to man who goes to hell for singing worldly songs.
Q414.0.8.	Demons burn heretic at stake.
Q457.2.	Devil flays an impious person.
Q491.3.	Devil beats the corpse of a bad man.
Q554.1.	Devil carries off thief.
Q554.2.	Devil in roof of church into which he thrusts voices of loud singers.
Q565.	Man admitted to neither heaven nor hell. He has tricked the devil.
R2.	God holds the devil captive in bonds for three years.
R11.2.1.	Devil carries off wicked people.
R11.2.2.	Devils seize sinful man.
R13.2.2.	Bull carries the devil away after he has tried to deceive God.
S113.2.1.	Devil cuts off hand of woman and suffocates her.
S211.	Persons promised to devil.
S223.	Childless couple promise child to the devil if they may only have one.
S223.1.	Girl promises unborn child to devil if he will suffer the birth pangs.
S224.	Child promised to devil for acting as godfather.
S225.	Child promised to devil for help on road with broken wagon.
S226.	Child promised to devil for directions out of woods when father is lost.
S227.	Child promised to devil in exchange for a good catch of fish.
S241.1.	Unwitting bargain with devil evaded by driving dog over bridge first.
S241.2.	Devil is to have last one who leaves “black” school.
T91.2.1.	Devil would be maid's paramour.
T251.1.1.	Belfagor. The devil frightened by the shrewish wife.
T251.1.4.	Man forces devil to take back the shrewish wife.
T332.	Man tempted by fiend in woman's shape.
T451.	Devil causes girl to become prostitute.
T481.3.	Adulterous woman sells self to devil for money.
T539.3.	Conception from intercourse with demon.
V5.3.	Devils cause monk to perspire and stay away from church service.
V31.5.	Devil eats unblessed bread.
V55.	Robert worships devil's image in order to secure advancement,
V115.3.	Devil buys church bell and demoralizes congregation.
V118.0.1.	Hell as a monastery: the devil as abbot, sinners as monks.
V322.	Heretical baptism. Heathen baptized into devil's possession.
X424.	The devil in the cemetery. Thieves think fat parson is the devil and flee.
X425.	The parson who said there is no devil.
X513.	Devil will not carry usurers to hell but will drag them by the legs. SUPPLEMENTARY BIBLIOGRAPHY FOR G303 Campbell, J. G. Superstitions of the Highlands and Islands of Scotland. Glasgow, 1900. Hunt, R. Popular Romances of the West of England. London, 1903. Danielsson, P. Djävulgestalten i Finlands Svenska Folktro. Helsingfors, 1930.
G303.1.	The origin of the devil and his companions. Jewish: *Neuman.
G303.1.1.	The devil originates from God. Dh I 12; Jewish: Neuman.
G303.1.1.1.	God creates the devil (Satan) from his own shadow. Dh I 44.
G303.1.1.2.	Devil originates from God's spittle. Dh I 61ff.; Lithuanian: Balys Index No. 3001, Legends Nos. 1, 3, 8.   ## p. 314 (#332) ############################################  314 Motif-Index of Folk-Literature
G303.1.1.2.1.	The devil originates from the spittle of an evil man. Chere- mis: Sebeok-Nyerges.
G303.1.1.3.	God changes an angel into the devil, because he tried to imitate God in creating the world. Dh I 139.
G303.1.1.4.	God creates the devil by striking a stone with his whip. Dh I 33.
G303.1.2.	God discovers the devil.
G303.1.2.1.	God finds the devil sitting under a tree which was made by his throwing his staff into the water. Dh I 35.
G303.1.2.2.	God finds the devil under a stone. Dh I 31.
G303.1.2.3.	God discovers the devil in a piece of solid foam. Dh I 43.
G303.1.3.	The devil is created without the special aid of God.
G303.1.3.1.	The devil is developed from man. Dh I 4f.; West Indies: Flowers 447.
G303.1.3.2.	The devil is created out of a bubble. Dh I 19, 66f.
G303.1.3.3.	The devil is created out of sea-foam. Dh I 19.
A114.1.	Goddess born from sea-foam.
A1261.1.	Man created from sea- foam.
T546.1.	Birth from sea-foam.
G303.1.3.4.	Pagan gods became devils. *Loomis White Magic 75.
G303.8.14.	Devils dwell in heathen idols, as well as portraits and images,
G303.1.3.5.	Satan created out of hell fire. Jewish: Neuman.
G303.1.4.	The devil creates other devils. Lithuanian: Balys Index No. 3001.
A50.1.	Creation of angels and devils.
G303.1.4.1.	The devil creates devils by casting water behind himself. Dh I 49, 60, 133,
A1261.	Man made from water.
G303.1.4.2.	Devils are created from sparks produced by Satan's striking two stones together. Dh I 60ff.; Lithuanian: Balys Index No. 3001, Legends Nos. 1, 3.
A50.1.2.	God creates angels by striking one small stone with another. Lucifer creates devils by imitation.
G303.1.5.	Five devils created by Adam create other devils in the same manner. Adam has created five devils by wetting five fingers with dew and shaking them behind him; God had commanded him to wet one finger. (Cf.
G303.1.4.1.	) Dh I 49.
G303.1.6.	Devils are created from sinful priests. Cheremis: Sebeok- Nyerges.
G303.1.7.	Tuatha Dé Danann as demons (fallen angels). Irish myth: Cross.
G303.1.8.	Two devils (male and female) extracted from corpse's belly. India: Thompson-Balys.
G303.2.	Names applied to the devil. Jewish: *Neuman.
G303.2.1.	Devil calls himself “Puss”. Fb I 266b.   ## p. 315 (#333) ############################################  G. Ogres 315
G303.2.2.	Devil is called “the black one". Fb I 267b; Wünsche Teufel 51f.
G303.2.3.	Devil says his name is “Millearces" (thousand ways to lead men to sin). Scala Celi 165b No. 932.
G303.2.4.	Gaelic titles given to the devil: the worthless one; the one whom I will not mention; yon one; the one big one; the one from the abyss; the mean mischievous one; the big sorrow; the son of cursing; the big grizzled one; the bad one; the bad spirit; Black Donald. J. G. Campbell Superstitions of the Highlands and Islands of Scotland (Glasgow, 1900) 291.
G303.3.	Forms in which the devil appears. *Toldo II 330ff.
D630.	Transformation and disenchantment at will.
