A1313.	Origin of sex-organs.
P214.	Wife drinks blood of slain husband.
T231.1.	Faithless widow betrothed anew at husband's funeral. Pauli (ed. Bolte) No. 751.
T231.2.	Faithless widow fans husband's grave. She does not want to remarry until the body is cold (or the earth on the grave is dry). *Wesselski Mönchslatein 85 No. 72; Chinese: Werner 149.
T231.3.	Faithless widow ready to marry messenger who brings news of husband's death. The husband, however, has only feigned death to test her. (Cf.
T235.	) *Type 1350.
T231.3.1.	Faithless widow offers city to killer of her husband if he will marry her. Italian Novella: Rotunda; India: Thompson-Balys.
T231.4.	Faithless widow's heartlessness repels the new suitor. She obeys him when he tells her to knock out the teeth of her dead husband. Fearing like treatment, he leaves. Type 1352*.
T231.5.	Faithless widow marries slayer of husband. Irish myth: *Cross.
T232.	Woman deserts husband for unworthy lover. (Deformed, mutilated, monstrous, or of different race.) *Penzer V 153 n. 1; Malone PMLA XLIII 418ff.; Strauch Enikels Weltchronik, lines 25177ff. Irish myth: Cross; Italian Novella: *Rotunda; Palestine: Schmidt-Kahle Volkserzählungen aus Palästina I 139ff.; India: *Thompson-Balys; Buddhist myth: Malalasekera II 109; Indonesia: Coster-Wijsman 148. -
T118.	Girl married to (enamoured of) a monster.
T232.1.	Woman consorts with leper. Italian Novella: Rotunda.
T232.2.	Adulteress chooses loathly paramour. Heptameron No. 20; Italian Novella: Rotunda.
T232.3.	Adulteress poisons husband in order to be with swineherd. Italian Novella: Rotunda.
T232.4.	Woman enamored of repulsive and abusive lover. India: Thomp- son-Balys.
T118.	Girl married to (enamored of) a monster.
T481.1.	Adulteress roughly treated by her lover.
T232.5.	Faithless wife pays her paramour for enjoying herself with him. India: *Thompson-Balys.   ## p. 367 (#371) ############################################  T. Sex 367
T233.	Wronged wife goes to wronged husband. Italian Novella: *Ro- tunda.
T235.	Husband transforms himself to test his wife's faithfulness. (Cf.
T231.3.	) Greek: Fox 72.
K1531.	Husband transformed to goat must witness wife's adultery.
K1563.	Husband in disguise begs food of his wife's suitors.
K1810.	Deception by disguise.
N15.	Chastity wager. A man makes a wager on his wife's chastity.
T236.	Woman enamored of an unknown knight in a tournament loses interest when she finds that it is her husband. (Cf.
R222.	) Pauli (ed. Bolte) No. 750.
T237.	Old man married to young, unfaithful wife. Irish myth: Cross; Italian Novella: Rotunda.
T238.	Adulteress on her death-bed reveals the illegitimacy of her children. Did not want her husband to be burdened with their bringing up. Cent Nouvelles Nouvelles No. 51; Italian Novella: *Ro- tunda.
T241.	Series of husbands try in vain to control adulteress. India: Thompson-Balys.
T243.	Fight between husband and lover for kingdom and wife. Irish myth: Cross; India: *Thompson-Balys.
T244.	Woman reveals whereabouts of husband to enemy in revenge for desertion. Irish myth: Cross.
T244.1.	Woman reveals whereabouts of husband to hungry bear in revenge for desertion. India: Thompson-Balys.
T245.	Man unfaithful even on wedding night. India: Thompson-Balys.
H1552.1.	Which was most generous-husband, robber, or lover?
T247.	Object stolen (left) as token that infidelity has been discovered. Irish myth: *Cross.
T247.1.	Substituted sword. Husband leaves wooden sword in scabbard of wife's paramour upon discovering their infidelity. Irish myth: Cross.
T249.	Faithlessness in marriage-miscellaneous.
T249.1.	Adulterous wife convicted commits suicide. Irish myth: *Cross.
T249.2.	Husband and wife (king and queen) each unfaithful to other. Irish myth: *Cross.
T250.	Characteristics of wives and husbands.
H461.	Test of wife's patience. Griselda.
J1151.1.1.	Talkative wife dis- credited.
J1546.	Overcurious wife learns of the senate's deliberations.
W111.3.	The lazy wife.
W111.4.	Lazy husband.
Z153.	Princess crushes lotus flower to show that she will be submissive.
T251.	The shrewish wife. *Penzer II 159f.; Hanna Lindberg “The Shrew", argbiggans typ i den Engelska Literaturen intill Shakespeare (Ta- vastehus, 1900); India: *Thompson-Balys.
J2412.5.	Healing with the cherry tree.
K583.	Wolf punished by being married.
Q599.2.	Punishment: marrying shrewish wife.
S51.	Cruel mother-in-law.
T251.0.1.	Man ejected from heaven for folly of marrying twice. Spanish: Boggs FFC XC 126 No. 1410.   ## p. 368 (#372) ############################################  368 Motif-Index of Folk-Literature
T251.0.2.	Christ, not having married, knew nothing about suffering. So thinks the man after hearing all about Christ's torments. Spanish: Boggs FFC XC 129 No. 1516A.
T251.0.3.	Man reprimanded by judge for marrying several times. The man replies that he was always looking for a good wife. Spanish: Childers.
T251.1.	Avoiding the shrewish wife.
T251.1.1.	Belfagor. The devil frightened by the shrewish wife. A man persuades his shrewish wife to let herself be lowered into a well. When he comes to pull her out he raises a genie (devil) who is glad to escape from the woman. Later he frightens the devil by telling him that his wife has escaped. *Type 1164; **Axon The Story of Belfagor in Literature and Folklore (1902); *BP I 382, 388, IV 176 n. 1; *Prato RTP IV 174; *Bolte Zs. f. Vksk. XV 104; Child V 107f., 305a; *Chauvin VIII 152 No. 154. Rumanian: Schullerus FFC LXXVIII No. 11641*; Spanish: Boggs FFC XC 50 No. 332; Italian Novella: *Rotunda; India: *Thompson-Balys. -
K212.	Devil cheated by being frightened.
K2325.	Devil frightened by threatening to bring mother-in-law.
T251.1.1.1.	Devil flees shrewish wife and enters body of a duke. Exor- cised by telling him that they are sending for his wife. Italian Novella: *Rotunda.
T251.1.2.	Late husband chooses to remain in Purgatory rather than to return to his shrewish wife. Spanish: Boggs FFC XC 129 No. 1516.
T251.1.2.1.	Husband chooses to go to hell rather than join shrewish wife in heaven. Pauli (ed. Bolte) No. 757.
T251.1.2.2.	Man in hell declares that life there is much better than on earth with his wife. Bargain with the devil: should the latter not be able to endure life with his wife for three years, the man would be released from hell. The devil is the loser. Lithuanian: Balys Index No. 1164B*.
T251.1.3.	Man had rather remain transformed to mule than to live with his shrewish wife. Spanish: Boggs FFC XC 86 No. 754C*.
T251.1.4.	Man forces devil to take back the shrewish wife. Spanish: Boggs FFC XC 41 No. 301.
T251.1.5.	Minstrel throws wife into sea: her tongue the heaviest thing on board. Ordered to throw all heavy articles overboard. *Pauli (ed. Bolte) No. 138; Mensa Philosophica No. 61; Italian Novella: *Ro- tunda.
T251.1.6.	Thief overhears and oversees quarrel of two jealous wives. Arraigned before judge, he asks any punishment be given him rather than that of having two wives. India: Thompson-Balys.
T251.2.	Taming the shrew. By outdoing his wife in shrewishness the husband renders her obedient. *Types 900, 901; *BP I 443; **Philipp- son FFC L; *Wesselski Arlotto II 229 No. 95; *Gigas "Et eventyrs vandring" Litteratur og Historie (3e samling) (København, 1902); *Krappe Études ital. II 141ff.; *Wesselski Märchen 216 No. 24; Köhler-Bolte I 137; Chauvin II 155 No. 27. Spanish Exempla: Keller; Italian Novella: Rotunda; India: *Thompson-Balys.
H386.	Bride test: obedience.
N12.	Wager on the most obedient wife. The husband tames his shrewish wife so that he wins the wager.
W31.	Obedience.   ## p. 369 (#373) ############################################  T. Sex 369
T251.2.1.	Shrew tamed by setting another shrew against her. Crane Vitry 218 No. 200; Herbert III 16.
T251.2.2.	Husband dons armor and forces the household to shout: "Long live the Master!" Takes off his breeches and dares his wife to put them on. Establishes his mastery in the home. Italian Novella: *Ro- tunda.
T251.2.3.	Wife becomes obedient on seeing husband slay a recalcitrant horse. Italian Novella: *Rotunda.
T251.2.3.1.	Husband tries to reform wife by killing a recalcitrant horse in her presence. She thinks he has lost his mind and continues in her ways. Italian Novella: Rotunda.
T251.2.4.	The wicked queen reformed. While asleep she is made to exchange places with the cobbler's wife. She thinks she is in hell. The cobbler teaches her to obey and fear her husband. Lithuanian: Balys Index No. 904*; Russian: Andrejev No. 9011*; Prussian: Plen- zat 49.
K1840.	Deception by substitution.
Q325.	Disobedience punished.
T251.2.5.	Shrewish wife driven from home but when in danger, runs to husband and receives protection. She is a good wife thereafter. Africa (Congo): Grenfell 819.
T251.3.	St. Peter's wife meets him with a broom handle. She is waiting for him at the rear door of the house. Type 754**.
T251.4.	Socrates and Zanthippe: "After thunder rain". He thus remarks as she empties slops on his head. *Wesselski Arlotto II 258 No. 183; *Pauli (ed. Bolte) No. 471; England: Baughman.
J1250.	Clever verbal retorts.
T251.5.	Strength in words, in herbs, and in stones. When first two do not cure shrewish wife, the last does. (Cf.
J1563.	6,
J1581.	2,
J2412.5.	) Pauli (ed. Bolte) No. 134; Mensa Philosophica No. 58.
T251.6.	The browbeaten husband from under the table: "The man always has a man's heart." Type 1366*; Spanish: Boggs FFC XC 141 No. 1705.
T251.7.	Husband will not search for shrewish wife who has run away from him. Wesselski Bebel II 145 No. 142.
T251.8.	Shrewish wife gives husband heating every morning. India: *Thompson-Balys.
T251.9.	Husband consoled by seeing woman even more shrewish than his wife. (Cf.
J882.	) India: Thompson-Balys.
T251.10.	Wife beats her husband and eats up everything he earns. India: Thompson-Balys.
T251.11.	Fakir thankful for shrewish wife: she is a thorn in his flesh and warns him from neglecting the ways of righteousness. India: Thompson-Balys.
T252.	The overbearing wife.
T252.1.	Unsuccessful search for man who can rule his wife. Type 1375*.
T252.2.	Cock shows browbeaten husband how to rule his wife. (Cf.
J21.	16,
J130.	) *Type 670; **Aarne FFC XV 49ff.; Fb "kok" IV 272b; Italian Novella: Rotunda; India: Thompson-Balys. 24   ## p. 370 (#374) ############################################  370 Motif-Index of Folk-Literature
T252.2.1.	King sees how male stork kills his unfaithful wife. Follows its example. Scala Celi 7a No. 40; Oesterley No. 82; Spanish Exempla: Keller.
T252.2.2.	Monkey (jackal, etc.) shows husband how to rule his wife. India: *Thompson-Balys.
T252.2.2.1.	King tells jackal his statistics are wrong since there are more men than women. Jackal: husbands ruled by their wives counted as women. India: Thompson-Balys.
T252.3.	Wife threatens husband with death if he will not tell secrets. *Type 670; **Aarne FFC XV 48ff.; India: *Thompson-Balys.
T252.4.	
C420.1.	Man (woman) persuaded to reveal fatal secret.
C425.	Tabu: revealing knowledge of animal languages.
K975.	Secret of strength treacherously discovered.
K2213.	Treacherous wife.
N440.	Valuable secrets learned.
N456.	Enigmatical smile (laugh) reveals secret know- ledge. Prize for husband who rules his wife. (Ham, egg.) *Köhler-Bolte III 609; Fb "æg" III 1142a.
T252.4.1.	Man claims prize (boots) as ruler of his house, but is afraid to carry the boots lest he soil his clean shirt and anger his wife. Pauli (ed. Bolte) No. 753; Italian Novella: Rotunda.
T252.5.	Men rulers in their house asked to sing. No man in congregation does so. Priest alone sings. Next year he cannot, for then he has a maid. Wesselski Bebel II 148 No. 157; Pauli (ed. Bolte) No. 811.
T252.6.	Wife threatens suicide if she does not have her own way. India: Thompson-Balys.
T252.7.	Vexed woman brings pot down on husband's head in presence of guest. India: Thompson-Balys.
T253.	The nagging wife. India: *Thompson-Balys.
T253.1.	Nagging wife drives husband to prepare for suicide. *Type 670; **Aarne FFC XV 48ff.
T253.2.	Woman advised that nagging will never make a husband virt- uous. Pauli (ed. Bolte) No. 135.
T253.3.	Saint composes hymn to free himself from the mala vita in which he lives with his wife. Irish myth: Cross.
T254.	The disobedient wife.
H473.	Test of wife's obedience.
H1557.	Tests of obedience. on most obedient wife.
W126.	Disobedience.
N12.	Wager
T254.1.	The husband shows his wife poison to avoid: she takes it and dies. Chauvin II 155 No. 27; Krappe Bulletin Hispanique XXXIX 38; Spanish Exempla: Keller; Italian Novella: *Rotunda.
T254.2.	Husband forbids wife to ride on the dog: she immediately does so and is bitten. Pauli (ed. Bolte) No. 705.
T254.3.	Man with obedient wife looks young; with disobedient, old. India: Thompson-Balys.
T254.4.	Man forbids wife to open chest. Loaded crossbow placed in it. She opens it and is killed. Italian Novella: Rotunda.
T254.5.	Husband warns wife not to enter empty furnace. She does so and it falls in upon her. Spanish Exempla: Keller.   ## p. 371 (#375) ############################################  T. Sex 371
T254.6.	Disobedient wife punished.
T254.6.1.	Wife refuses to bring husband warm water: is beaten. India: Thompson-Balys.
T255.	The obstinate wife or husband. (Cf.
J2511.	) *Type 1365; India: *Thompson-Balys; Japanese: Ikeda.
T255.1.	The obstinate wife: cutting with knife or scissors. At the end of the argument the man throws his wife into the water. As she sinks she makes with her finger the motion of shearing with the scissors. *Type 1365B; *Köhler-Bolte I 136; *Taylor Washington Univ. Studies IV 181 n. 28; *Crane Vitry 223 No. 222; Bédier Fabliaux (1895) 46ff.; *Pauli (ed. Bolte) No. 595; Moe Samlede Skrifter I 209ff.; Spanish Exempla: Keller.
T255.2.	The obstinate wife sought for up-stream. When she falls into the stream, the husband concludes that she would be too obstinate to go with the current. *Type 1365A; *Crane Vitry 225f. No. 227; Köhler-Bolte I 506 n. 1; *Wesselski Hodscha Nasreddin I 270 No. 276; *Moe Samlede Skrifter I 212; *Pauli (ed. Bolte) No. 142; Italian Novella: *Rotunda; India: Thompson-Balys.
