ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
So. Am. Indian (Tapirapé),6,ethnic_tribal,indigenous_group,0.95,Mato Grosso,"The Tapirapé are an indigenous people of Brazil, primarily located in the state of Mato Grosso. They are a Tupi-Guarani speaking group traditionally living along the Tapirapé River in central Brazil.","[-10.7857, -51.4167]",
So. Am. Indian (Tembé),6,ethnic_tribal,indigenous_group,0.9,Pará,The Tembé (also known as Tenetehara-Tembé) are an indigenous people living primarily in the Brazilian state of Pará in the eastern Amazon region. They are part of the Tupi-Guarani linguistic family.,"[-2.5, -47.5]",
So. Am. Indian (Tumupasa),6,ethnic_tribal,indigenous_group,0.9,Bolivia,"The Tumupasa (or Tacana) are an indigenous people located in the La Paz Department of Bolivia, particularly in the Madidi region. They are part of the Tacanan linguistic family of South American indigenous peoples.","[-14.1524, -67.8838]",
So. Am. Indian (Viracocha),6,religious,deity,0.9,Peru,"Viracocha was the supreme creator deity in Inca mythology and religion, particularly venerated in the Andean region. The term 'So. Am. Indian' (South American Indian) here specifically refers to Indigenous peoples of the Andes who worshipped this deity, primarily the Inca civilization.","[-13.5167, -71.9789]",
So. Am. Indian (Witoto),6,ethnic_tribal,indigenous_group,0.9,Colombia-Peru Amazon Border Region,"The Witoto (also spelled Huitoto) are an indigenous people of the Amazon rainforest, primarily located along the Colombia-Peru border region. They traditionally lived in the area between the Putumayo and Caquetá rivers.","[-2.0, -72.0]",
Westphalia,6,geographic,historical_region,0.95,North Rhine-Westphalia,Historical region in northwestern Germany that was a part of the Holy Roman Empire. Today largely corresponds to the eastern part of the German state of North Rhine-Westphalia. Known for the Peace of Westphalia (1648) that ended the Thirty Years' War.,"[51.95, 7.62]",
Zulu,6,ethnic_tribal,indigenous_group,0.95,KwaZulu-Natal,"The Zulu are a major ethnic group in South Africa, traditionally centered in KwaZulu-Natal province. They form the largest ethnic group in South Africa, with a rich history including the famous Zulu Kingdom under Shaka Zulu in the early 19th century.","[-28.5306, 30.8958]",
Africa (Yaunde),5,geographic,city,0.95,Yaoundé,Yaoundé (modern spelling) is the capital city of Cameroon. The parenthetical qualifier suggests this reference is specifically about folklore/traditions from the Yaoundé area rather than Africa as a whole.,"[3.8667, 11.5167]",
Assyrian,5,ethnic_tribal,ancient_civilization,0.9,Northern Iraq,"Ancient Mesopotamian civilization and empire centered in northern Iraq, and also a modern ethnic group descended from ancient Assyrians. Still exists as a distinct ethnic and religious (Christian) minority in Iraq, Syria, and other parts of the Middle East.","[36.3, 43.1]",
Buin,5,ethnic_tribal,indigenous_group,0.9,Bougainville Island,The Buin are an ethnic group and language group located in the southern part of Bougainville Island in Papua New Guinea. They are one of the major indigenous peoples of the region.,"[-6.8, 155.7]",
Bulu,5,ethnic_tribal,indigenous_group,0.9,Southern Cameroon,"The Bulu are an ethnic group belonging to the Beti-Pahuin peoples, primarily located in southern Cameroon. They speak the Bulu language, which is part of the Bantu language family.","[2.9333, 11.5]",
Cheyenne,5,ethnic_tribal,indigenous_group,0.95,Montana and Oklahoma,"The Cheyenne are a Native American tribe of the Great Plains, historically ranging from Montana to Oklahoma. They separated into two groups: the Northern Cheyenne (primarily in Montana) and Southern Cheyenne (primarily in Oklahoma) after the 19th century.","[44.8, -106.9]",
Druze,5,religious,religious_minority,0.95,Mount Lebanon,"The Druze are a monotheistic religious and ethnic group, traditionally found in the Levant region, particularly in Lebanon, Syria, and Israel. They emerged from a branch of Ismaili Islam in the 11th century and maintain a distinct religious tradition that incorporates elements from Islam, Judaism, and Christianity.","[33.8167, 35.5933]",
Gilbert Islands,5,geographic,archipelago,0.99,Gilbert Islands,"A chain of 16 atolls and coral islands in the Pacific Ocean, now part of the Republic of Kiribati. Named after British captain Thomas Gilbert who explored them in 1788. The islands are home to Micronesian peoples and their traditional culture.","[1.4167, 173.0333]",
Hawaiian,5,geographic,state_and_ethnic,0.95,Hawaii,"Refers to the indigenous people, language, and culture of the Hawaiian Islands, as well as things pertaining to the U.S. state of Hawaii. Native Hawaiians (Kanaka Maoli) have a distinct Polynesian culture and heritage.","[21.3069, -157.8583]",
Hungary,5,geographic,country,1.0,Hungary,"A country in Central Europe with a rich folkloric tradition, formerly part of the Austro-Hungarian Empire. Home to Magyar culture and language, with distinctive folk traditions including music, dance, embroidery, and oral literature.","[47.1625, 19.5033]",
Latin,5,linguistic,classical_language,0.95,Rome,"Refers to the language and cultural sphere of ancient Rome, which became the basis for Romance languages and significantly influenced Western civilization. In folklore contexts, often refers to traditions, texts, or customs associated with Roman Catholic or Romance-language cultures.","[41.9028, 12.4964]",
Leper's Island,5,geographic,island,0.9,Aoba Island,"Leper's Island is a historical name for Aoba (also called Ambae), an island in Vanuatu. The name was given by early European explorers and appears in folklore collections, though it's no longer commonly used. The island is known for its active volcano Manaro.","[-15.4, 167.85]",
Mpongwe,5,ethnic_tribal,indigenous_group,0.9,Gabon,"The Mpongwe are an ethnic group indigenous to coastal Gabon, particularly around the Gabon Estuary and Libreville area. They are part of the Myene peoples and historically were important traders between European merchants and inland groups.","[0.4162, 9.4673]",
Navaho,5,ethnic_tribal,indigenous_group,0.95,Navajo Nation,"The Navaho (now commonly spelled Navajo) are one of the largest Indigenous peoples of North America, traditionally occupying parts of what is now northeastern Arizona, northwestern New Mexico, and southeastern Utah. They are known as Diné in their own language.","[36.0544, -109.7892]",
No. Am. Indian (Tahltan),5,ethnic_tribal,indigenous_group,0.95,British Columbia,"The Tahltan are a First Nations indigenous people traditionally occupying territory in northwestern British Columbia, Canada. They are part of the larger grouping of North American Indigenous peoples, with their traditional territory centered around the upper Stikine River and its tributaries.","[58.0, -130.0]",
No. Am. Indian (Teton),5,ethnic_tribal,indigenous_group,0.95,South Dakota,"Teton (or Teton Sioux/Lakota) refers to one of the seven branches of the Lakota Native American people, historically located in the Great Plains region, particularly in what is now South Dakota. They are also known as the Thítȟuŋwaŋ or Teton Lakota.","[43.8, -102.5]",
No. Am. Indian (Tlingit),5,ethnic_tribal,indigenous_group,0.95,Southeast Alaska,"The Tlingit are an indigenous people traditionally inhabiting the Pacific Northwest coast of North America, primarily in Southeast Alaska. They are known for their distinctive culture, totem poles, and maritime lifestyle.","[57.9, -134.2]",
Quichi,5,linguistic,indigenous_language,0.9,Guatemala Highlands,Quichi (also spelled K'iche' or Quiché) is a Mayan language spoken primarily in the highlands of Guatemala. It is one of the most widely spoken indigenous languages in Central America and was the language of the K'iche' kingdom in pre-Columbian times.,"[15.0319, -91.1487]",
Rarotonga,5,geographic,island,0.95,Rarotonga,Rarotonga is the largest and most populous of the Cook Islands in the South Pacific Ocean. It is a major cultural center of the Cook Islands and features prominently in Polynesian folklore and mythology.,"[-21.2333, -159.7667]",
So. Am. Indian (Araucanian),5,ethnic_tribal,indigenous_group,0.95,Araucanía Region,"Araucanian (now more commonly known as Mapuche) refers to indigenous peoples historically inhabiting central and southern Chile and parts of Argentina. 'So. Am.' is an abbreviation for South American, and this reference specifically identifies the Araucanian/Mapuche ethnic group.","[-38.7, -72.6]",
So. Am. Indian (Chincha),5,ethnic_tribal,indigenous_group,0.9,Chincha Valley,The Chincha were a pre-Columbian indigenous people who inhabited the Chincha Valley region of coastal Peru. They were known for their maritime trade networks and were later incorporated into the Inca Empire. The term 'So. Am.' indicates South American.,"[-13.4506, -76.1322]",
So. Am. Indian (Guapori River),5,ethnic_tribal,indigenous_group,0.9,Guaporé River,Refers to indigenous peoples living along the Guaporé River (also known as Iténez River) which forms part of the border between Brazil and Bolivia. Multiple indigenous groups historically inhabited this river basin in the Amazon region.,"[-12.436, -64.632]",
So. Am. Indian (Guarayos),5,ethnic_tribal,indigenous_group,0.9,"Santa Cruz Department, Bolivia","The Guarayos are an indigenous people of Bolivia, primarily located in the Guarayos Province of Santa Cruz Department. They are a Tupi-Guarani ethnic group and maintain their traditional culture and language.","[-15.8, -63.1]",
So. Am. Indian (Mori),5,ethnic_tribal,indigenous_group,0.8,Peru,"Mori appears to refer to an indigenous group in South America, likely in Peru. The '(Mori)' specification after 'So. Am. Indian' suggests this is a specific tribal designation, though there is some ambiguity about the exact group referenced.","[-9.19, -75.0152]",
Swahili,5,linguistic,language_and_culture,0.95,Zanzibar,"Swahili refers to both a Bantu language (Kiswahili) and the culture of East African coastal peoples. The language originated among coastal communities and spread inland, becoming a major lingua franca of East Africa. Zanzibar was historically a central hub of Swahili culture and language development.","[-6.1659, 39.3499]",
West Africa,5,geographic,region,1.0,West Africa,"The western portion of the African continent, typically including countries from Senegal to Nigeria. This cultural region is characterized by shared historical, linguistic and cultural traits including traditional folklore, music, and religious practices.","[8.0, -2.0]",
Africa (Akan-Ashanti),4,ethnic_tribal,indigenous_group,0.95,Ghana,"The Akan-Ashanti refers to closely related ethnic groups in Ghana, with the Ashanti being a major subgroup of the larger Akan people. They are known for their influential empire historically centered in what is now Ghana, with distinctive cultural traditions including kente cloth and gold-working.","[6.7, -1.6]",
